Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,NA,NA,NA,NA,NA,NA
Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34,NA,NA,NA,NA,NA,NA
SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,NA,NA,NA,NA,NA,NA
Final Fantasy II,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77,NA,NA,NA,NA,NA,NA
Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76,NA,NA,NA,NA,NA,NA
Yoshi,NES,1991,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75,NA,NA,NA,NA,NA,NA
Super Scope 6,SNES,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65,NA,NA,NA,NA,NA,NA
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39,NA,NA,NA,NA,NA,NA
Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,0.5,0.14,0.52,0.02,1.18,NA,NA,NA,NA,NA,NA
Super R.C. Pro-Am,GB,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14,NA,NA,NA,NA,NA,NA
NES Open Tournament Golf,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1,NA,NA,NA,NA,NA,NA
Mega Man 4,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.93,NA,NA,NA,NA,NA,NA
Final Fantasy Legend III,GB,1991,Role-Playing,SquareSoft,0,0,0.76,0,0.76,NA,NA,NA,NA,NA,NA
Yoshi,GB,1991,Puzzle,Nintendo,0,0,0.73,0,0.73,NA,NA,NA,NA,NA,NA
Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63,NA,NA,NA,NA,NA,NA
The Legend of the Mystical Ninja,SNES,1991,Adventure,Konami Digital Entertainment,0,0,0.48,0,0.48,NA,NA,NA,NA,NA,NA
Bomberman II,NES,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44,NA,NA,NA,NA,NA,NA
Super Wagyan Land,SNES,1991,Action,Namco Bandai Games,0,0,0.42,0,0.42,NA,NA,NA,NA,NA,NA
Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment,0,0,0.39,0,0.39,NA,NA,NA,NA,NA,NA
Super Soccer,SNES,1991,Sports,Nintendo,0,0,0.38,0,0.38,NA,NA,NA,NA,NA,NA
Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,0,0,0.38,0,0.38,NA,NA,NA,NA,NA,NA
Battle Dodge Ball,SNES,1991,Sports,Banpresto,0,0,0.33,0,0.33,NA,NA,NA,NA,NA,NA
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games,0,0,0.33,0,0.33,NA,NA,NA,NA,NA,NA
Tetris 2 + Bombliss,NES,1991,Puzzle,BPS,0,0,0.32,0,0.32,NA,NA,NA,NA,NA,NA
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Angel Studios,0,0,0.29,0,0.29,NA,NA,NA,NA,NA,NA
Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0,0,0.28,0,0.28,NA,NA,NA,NA,NA,NA
Famista '92,NES,1991,Sports,Namco Bandai Games,0,0,0.28,0,0.28,NA,NA,NA,NA,NA,NA
Mega Man II,GB,1991,Platform,Nintendo,0,0,0.28,0,0.28,NA,NA,NA,NA,NA,NA
Lord of Darkness,SNES,1991,Action,Tecmo Koei,0,0,0.28,0,0.28,NA,NA,NA,NA,NA,NA
Romance of the Three Kingdoms II,SNES,1991,Strategy,Tecmo Koei,0,0,0.25,0,0.25,NA,NA,NA,NA,NA,NA
Super R-Type,SNES,1991,Shooter,Nintendo,0,0,0.23,0,0.23,NA,NA,NA,NA,NA,NA
Super Baseball Simulator 1.000,SNES,1991,Sports,Culture Brain,0,0,0.2,0,0.2,NA,NA,NA,NA,NA,NA
GameBoy Wars,GB,1991,Strategy,Nintendo,0,0,0.18,0,0.18,NA,NA,NA,NA,NA,NA
Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0,0,0.18,0,0.18,NA,NA,NA,NA,NA,NA
SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0,0,0.16,0,0.16,NA,NA,NA,NA,NA,NA
World League Soccer,SNES,1991,Sports,Imagineer,0,0,0.15,0,0.15,NA,NA,NA,NA,NA,NA
UN Squadron,SNES,1991,Shooter,Capcom,0,0,0.12,0,0.12,NA,NA,NA,NA,NA,NA
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,Epoch,0,0,0.08,0,0.08,NA,NA,NA,NA,NA,NA
John Madden Football,SNES,1991,Sports,Imagineer,0,0,0.07,0,0.07,NA,NA,NA,NA,NA,NA
Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Action,Konami Digital Entertainment,0,0,0.06,0,0.06,NA,NA,NA,NA,NA,NA
Lagoon,SNES,1991,Role-Playing,Kemco,0,0,0.05,0,0.05,NA,NA,NA,NA,NA,NA
