Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,NA,NA,NA,NA,NA,NA
Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,NA,NA,NA,NA,NA,NA
Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,NA,NA,NA,NA,NA,NA
Tennis,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17,NA,NA,NA,NA,NA,NA
Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,NA,NA,NA,NA,NA,NA
Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52,NA,NA,NA,NA,NA,NA
F1 Race,NES,1984,Racing,Nintendo,0,0,1.52,0,1.52,NA,NA,NA,NA,NA,NA
4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0,0,1.45,0,1.45,NA,NA,NA,NA,NA,NA
Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,NA,NA,NA,NA,NA,NA
Pac-Man,NES,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,NA,NA,NA,NA,NA,NA
Lode Runner,NES,1984,Puzzle,Hudson Soft,0,0,1.1,0,1.1,NA,NA,NA,NA,NA,NA
Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82,NA,NA,NA,NA,NA,NA
Mappy,NES,1984,Platform,Namco Bandai Games,0,0,0.69,0,0.69,NA,NA,NA,NA,NA,NA
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0,0,0.27,NA,NA,NA,NA,NA,NA
