Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,NA,NA,NA,NA,NA,NA
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0,0.23,4.21,NA,NA,NA,NA,NA,NA
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12,NA,NA,NA,NA,NA,NA
Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84,NA,NA,NA,NA,NA,NA
Tekken,PS,1995,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24,NA,NA,NA,NA,NA,NA
Killer Instinct,SNES,1995,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2,NA,NA,NA,NA,NA,NA
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,0,0,3.19,0,3.19,NA,NA,NA,NA,NA,NA
Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,0,0.16,3.03,NA,NA,NA,NA,NA,NA
Kirby's Dream Land 2,GB,1995,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36,NA,NA,NA,NA,NA,NA
Chrono Trigger,SNES,1995,Role-Playing,SquareSoft,0.28,0,2.02,0.01,2.31,NA,NA,NA,NA,NA,NA
Virtua Fighter 2,SAT,1995,Fighting,Sega,0.34,0.26,1.3,0.03,1.93,NA,NA,NA,NA,NA,NA
Air Combat,PS,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,NA,NA,NA,NA,NA,NA
Twisted Metal,PS,1995,Action,Sony Computer Entertainment,1.32,0.19,0,0.05,1.56,NA,NA,NA,NA,NA,NA
Romancing SaGa 3,SNES,1995,Role-Playing,SquareSoft,0,0,1.29,0.01,1.3,NA,NA,NA,NA,NA,NA
Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0,0.08,1.27,NA,NA,NA,NA,NA,NA
Sega Rally Championship,SAT,1995,Racing,Sega,0.21,0.16,0.77,0.02,1.16,NA,NA,NA,NA,NA,NA
Derby Stallion III,SNES,1995,Sports,ASCII Entertainment,0,0,1.15,0,1.15,NA,NA,NA,NA,NA,NA
Arc the Lad,PS,1995,Role-Playing,Sony Computer Entertainment,0,0,1.1,0.01,1.11,NA,NA,NA,NA,NA,NA
Ridge Racer Revolution,PS,1995,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07,NA,NA,NA,NA,NA,NA
NBA Jam Tournament Edition,SNES,1995,Sports,Acclaim Entertainment,0.87,0.12,0,0.02,1.01,NA,NA,NA,NA,NA,NA
