Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,NA,NA,NA,NA,NA,NA
Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99,NA,NA,NA,NA,NA,NA
NA,GEN,1993,NA,Acclaim Entertainment,1.78,0.53,0,0.08,2.39,NA,NA,NA,NA,NA,NA
Super Street Fighter II,SNES,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03,2,NA,NA,NA,NA,NA,NA
Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,1.48,0.39,0,0.06,1.93,NA,NA,NA,NA,NA,NA
Secret of Mana,SNES,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83,NA,NA,NA,NA,NA,NA
Disney's Aladdin,SNES,1993,Platform,Capcom,0.94,0.34,0.21,0.27,1.75,NA,NA,NA,NA,NA,NA
Kirby's Adventure,NES,1993,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75,NA,NA,NA,NA,NA,NA
Super Puyo Puyo,SNES,1993,Puzzle,Banpresto,0,0,1.69,0.01,1.7,NA,NA,NA,NA,NA,NA
Sonic CD,SCD,1993,Platform,Sega,1,0.36,0.09,0.05,1.5,NA,NA,NA,NA,NA,NA
Dragon Ball Z,SNES,1993,Fighting,Namco Bandai Games,0,0,1.45,0,1.45,NA,NA,NA,NA,NA,NA
Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games,0,0,1.2,0,1.2,NA,NA,NA,NA,NA,NA
Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1.17,0,1.17,NA,NA,NA,NA,NA,NA
Mega Man X,SNES,1993,Platform,Capcom,0.57,0.08,0.5,0.01,1.16,NA,NA,NA,NA,NA,NA
Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,0,0,1.15,0,1.15,NA,NA,NA,NA,NA,NA
Final Fight 2,SNES,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02,NA,NA,NA,NA,NA,NA
Tetris 2,NES,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98,NA,NA,NA,NA,NA,NA
