Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,NA,NA,NA,NA,NA,NA
Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,NA,NA,NA,NA,NA,NA
F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41,NA,NA,NA,NA,NA,NA
Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,0.08,0,3.03,0.01,3.12,NA,NA,NA,NA,NA,NA
F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85,NA,NA,NA,NA,NA,NA
Streets of Rage,GEN,1990,Action,Sega,1.86,0.55,0.11,0.08,2.6,NA,NA,NA,NA,NA,NA
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23,NA,NA,NA,NA,NA,NA
Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56,NA,NA,NA,NA,NA,NA
Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48,NA,NA,NA,NA,NA,NA
Final Fantasy III,NES,1990,Role-Playing,SquareSoft,0,0,1.39,0.01,1.4,NA,NA,NA,NA,NA,NA
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,NA,NA,NA,NA,NA,NA
Mega Man 3,NES,1990,Platform,Capcom,0.68,0.1,0.39,0,1.17,NA,NA,NA,NA,NA,NA
Qix,GB,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15,NA,NA,NA,NA,NA,NA
Pilotwings,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14,NA,NA,NA,NA,NA,NA
Extra Bases,GB,1990,Sports,Namco Bandai Games,0,0,0.33,0,0.33,NA,NA,NA,NA,NA,NA
Famista '91,NES,1990,Sports,Namco Bandai Games,0,0,0.3,0,0.3,NA,NA,NA,NA,NA,NA
