Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37,NA,NA,NA,NA,NA,NA
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,NA,NA,NA,NA,NA,NA
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,NA,NA,NA,NA,NA,NA
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,NA,NA,NA,NA,NA,NA
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,Namco,T
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,NA,NA,NA,NA,NA,NA
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,8,9,266,Capcom,M
Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91,13,8.6,147,Core Design Ltd.,T
Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05,NA,NA,NA,NA,NA,NA
Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77,NA,NA,NA,NA,NA,NA
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51,NA,NA,NA,NA,NA,NA
Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94,NA,NA,NA,NA,NA,NA
Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,0,0.14,2.85,NA,NA,NA,NA,NA,NA
Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,1.98,0.7,0,0.11,2.79,NA,NA,NA,NA,NA,NA
Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2,0.5,0.12,0.03,2.65,NA,NA,NA,NA,NA,NA
Twisted Metal 2,PS,1996,Racing,Sony Computer Entertainment,2.12,0.25,0,0.07,2.44,NA,NA,NA,NA,NA,NA
Tetris Plus,PS,1996,Puzzle,JVC,2.1,0.24,0,0.07,2.4,NA,NA,NA,NA,NA,NA
Donkey Kong Land II,GB,1996,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35,NA,NA,NA,NA,NA,NA
Super Mario RPG: Legend of the Seven Stars,SNES,1996,Role-Playing,Nintendo,0.66,0,1.45,0.03,2.14,NA,NA,NA,NA,NA,NA
PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,92,15,7.4,48,NanaOn-Sha,K-A
Jet Moto,PS,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,NA,NA,NA,NA,NA,NA
Cruis'n USA,N64,1996,Racing,Nintendo,1.69,0.04,0,0.01,1.74,NA,NA,NA,NA,NA,NA
Diablo,PC,1996,Role-Playing,Activision,0.01,1.58,0,0,1.59,94,12,8.7,850,Blizzard Entertainment,M
Soul Edge,PS,1996,Fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.59,NA,NA,NA,NA,NA,NA
Die Hard Trilogy,PS,1996,Shooter,Fox Interactive,0.85,0.58,0,0.1,1.54,NA,NA,NA,NA,NA,NA
NASCAR 98,PS,1996,Racing,Electronic Arts,1.43,0.05,0,0.04,1.52,NA,NA,NA,NA,NA,NA
Tamagotchi,GB,1996,Simulation,Namco Bandai Games,0,0,1.44,0.01,1.45,NA,NA,NA,NA,NA,NA
Kirby Super Star,SNES,1996,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44,NA,NA,NA,NA,NA,NA
2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4,NA,NA,NA,NA,NA,NA
Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix Corporation,0,0,1.36,0,1.36,NA,NA,NA,NA,NA,NA
Madden NFL 97,PS,1996,Sports,Electronic Arts,0.73,0.5,0,0.09,1.32,NA,NA,NA,NA,NA,NA
TNN Motor Sports Hardcore 4x4,PS,1996,Racing,ASC Games,0.73,0.5,0,0.09,1.31,NA,NA,NA,NA,NA,NA
Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25,NA,NA,NA,NA,NA,NA
SimCity 2000,PS,1996,Simulation,Maxis,0.68,0.46,0,0.08,1.22,NA,NA,NA,NA,NA,NA
