Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,NA,NA,NA,NA,NA,NA
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,NA,NA,NA,NA,NA,NA
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,NA,NA,NA,NA,NA,NA
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,0.1,0,3.77,0,3.87,NA,NA,NA,NA,NA,NA
Ice Hockey,NES,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,NA,NA,NA,NA,NA,NA
R.C. Pro-Am,NES,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14,NA,NA,NA,NA,NA,NA
Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56,NA,NA,NA,NA,NA,NA
Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51,NA,NA,NA,NA,NA,NA
Disney's DuckTales,GB,1988,Platform,Capcom,0.82,0.23,0.35,0.03,1.43,NA,NA,NA,NA,NA,NA
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25,NA,NA,NA,NA,NA,NA
Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,0.1,0,1.08,0,1.18,NA,NA,NA,NA,NA,NA
Final Fantasy II,NES,1988,Role-Playing,SquareSoft,0,0,0.76,0,0.76,NA,NA,NA,NA,NA,NA
River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51,NA,NA,NA,NA,NA,NA
Rampage,2600,1988,Action,Activision,0.22,0.01,0,0,0.24,NA,NA,NA,NA,NA,NA
SimCity,PC,1988,Simulation,Maxis,0,0.02,0,0.01,0.03,64,75,2.2,4572,Maxis,E10+
