Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5,NA,NA,NA,NA,NA,NA
Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2,NA,NA,NA,NA,NA,NA
Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13,NA,NA,NA,NA,NA,NA
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97,NA,NA,NA,NA,NA,NA
Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0,0.02,1.65,NA,NA,NA,NA,NA,NA
River Raid,2600,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6,NA,NA,NA,NA,NA,NA
Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46,NA,NA,NA,NA,NA,NA
Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36,NA,NA,NA,NA,NA,NA
Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27,NA,NA,NA,NA,NA,NA
Megamania,2600,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1,NA,NA,NA,NA,NA,NA
Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0,0.01,1.05,NA,NA,NA,NA,NA,NA
Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0,0.01,0.97,NA,NA,NA,NA,NA,NA
Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93,NA,NA,NA,NA,NA,NA
Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0,0.01,0.82,NA,NA,NA,NA,NA,NA
Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79,NA,NA,NA,NA,NA,NA
Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77,NA,NA,NA,NA,NA,NA
Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0,0.01,0.73,NA,NA,NA,NA,NA,NA
King Kong,2600,1981,Action,Tigervision,0.65,0.04,0,0.01,0.69,NA,NA,NA,NA,NA,NA
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67,NA,NA,NA,NA,NA,NA
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0,0.01,0.59,NA,NA,NA,NA,NA,NA
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0,0.01,0.59,NA,NA,NA,NA,NA,NA
Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0,0.01,0.5,NA,NA,NA,NA,NA,NA
Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0,0,0.48,NA,NA,NA,NA,NA,NA
Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0,0,0.45,NA,NA,NA,NA,NA,NA
Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0,0,0.45,NA,NA,NA,NA,NA,NA
Barnstorming,2600,1981,Action,Activision,0.4,0.02,0,0,0.43,NA,NA,NA,NA,NA,NA
Mouse Trap,2600,1981,Action,Coleco,0.38,0.02,0,0,0.4,NA,NA,NA,NA,NA,NA
Laser Blast,2600,1981,Action,Activision,0.37,0.02,0,0,0.39,NA,NA,NA,NA,NA,NA
Airlock,2600,1981,Action,Data Age,0.36,0.02,0,0,0.39,NA,NA,NA,NA,NA,NA
Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0,0,0.37,NA,NA,NA,NA,NA,NA
Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.36,NA,NA,NA,NA,NA,NA
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,NA,NA,NA,NA,NA,NA
Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0,0,0.34,NA,NA,NA,NA,NA,NA
Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0,0,0.33,NA,NA,NA,NA,NA,NA
Astroblast,2600,1981,Action,Mattel Interactive,0.29,0.02,0,0,0.31,NA,NA,NA,NA,NA,NA
Fast Food,2600,1981,Action,Unknown,0.27,0.02,0,0,0.29,NA,NA,NA,NA,NA,NA
RealSports Football,2600,1981,Sports,Atari,0.24,0.01,0,0,0.26,NA,NA,NA,NA,NA,NA
Front Line,2600,1981,Action,Taito,0.22,0.01,0,0,0.24,NA,NA,NA,NA,NA,NA
Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24,NA,NA,NA,NA,NA,NA
Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22,NA,NA,NA,NA,NA,NA
Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0,0,0.22,NA,NA,NA,NA,NA,NA
Crazy Climber,2600,1981,Action,Atari,0.21,0.01,0,0,0.22,NA,NA,NA,NA,NA,NA
RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0,0,0.21,NA,NA,NA,NA,NA,NA
International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19,NA,NA,NA,NA,NA,NA
Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0,0,0.17,NA,NA,NA,NA,NA,NA
RealSports Volleyball,2600,1981,Sports,Atari,0.12,0.01,0,0,0.13,NA,NA,NA,NA,NA,NA
