hs4,hs4_name
0308,Aquatic_invertebrates_other_than_crustaceans_and_molluscs__live__fresh__chilled__frozen__dried__salted_or_in_brine;_smoked_aquatic_invertebrates_other_than_crustaceans_and_molluscs__whether_or_not_cooked_before_or_during_the_smoking_process;_flours__meals_and_pellets_of_aquatic_invertebrates_other_than_crustaceans_and_molluscs___fit_for_human_consumption
0401,Milk_and_cream__not_concentrated_nor_containing_added_sugar_or_other_sweetening_matter
0402,Milk_and_cream__concentrated_or_containing_added_sugar_or_other_sweetening_matter
0403,Buttermilk__curdled_milk_and_cream__yogurt__kephir_and_other_fermented_or_acidified_milk_and_cream__whether_or_not_concentrated_or_containing_added_sugar_or_other_sweetening_matter_or_flavoured_or_containing_added_fruit__nuts_or_cocoa
0404,Whey__whether_or_not_concentrated_or_containing_added_sugar_or_other_sweetening_matter;_products_consisting_of_natural_milk_constituents__whether_or_not_containing_added_sugar_or_other_sweetening_matter__not_elsewhere_specified_or_included
0405,Butter_and_other_fats_and_oils_derived_from_milk;_dairy_spreads
0406,Cheese_and_curd
0407,Birds'_eggs__in_shell__fresh__preserved_or_cooked
0408,Birds'_eggs__not_in_shell__and_egg_yolks__fresh__dried__cooked_by_steaming_or_by_boiling_in_water__moulded__frozen_or_otherwise_preserved__whether_or_not_containing_added_sugar_or_other_sweetening_matter
0409,Natural_honey
0410,Edible_products_of_animal_origin__not_elsewhere_specified_or_included
0501,Human_hair__unworked__whether_or_not_washed_or_scoured;_waste_of_human_hair
0502,Pigs'__hogs'_or_boars'_bristles_and_hair;_badger_hair_and_other_brush_making_hair;_waste_of_such_bristles_or_hair
0504,Guts__bladders_and_stomachs_of_animals_(other_than_fish)__whole_and_pieces_thereof__fresh__chilled__frozen__salted__in_brine__dried_or_smoked
0505,Skins_and_other_parts_of_birds__with_their_feathers_or_down__feathers_and_parts_of_feathers_(whether_or_not_with_trimmed_edges)_and_down__not_further_worked_than_cleaned__disinfected_or_treated_for_preservation;_powder_and_waste_of_feathers_or_parts_of_feathers
0506,Bones_and_horn-cores__unworked__defatted__simply_prepared_(but_not_cut_to_shape)__treated_with_acid_or_degelatinised;_powder_and_waste_of_these_products
0507,Ivory__tortoise-shell__whalebone_and_whalebone_hair__horns__antlers__hooves__nails__claws_and_beaks__unworked_or_simply_prepared_but_not_cut_to_shape;_powder_and_waste_of_these_products
0508,Coral_and_similar_materials__unworked_or_simply_prepared_but_not_otherwise_worked;_shells_of_molluscs__crustaceans_or_echinoderms_and_cuttle-bone__unworked_or_simply_prepared_but_not_cut_to_shape__powder_and_waste_thereof
0510,Ambergris__castoreum__civet_and_musk;_cantharides;_bile__whether_or_not_dried;_glands_and_other_animal_products_used_in_the_preparation_of_pharmaceutical_products__fresh__chilled__frozen_or_otherwise_provisionally_preserved
0511,Animal_products_not_elsewhere_specified_or_included;_dead_animals_of_Chapter_1_or_3__unfit_for_human_consumption
0601,Bulbs__tubers__tuberous_roots__corms__crowns_and_rhizomes__dormant__in_growth_or_in_flower;_chicory_plants_and_roots_other_than_roots_of_heading_12.12
0602,Other_live_plants_(including_their_roots)__cuttings_and_slips;_mushroom_spawn
0603,Cut_flowers_and_flower_buds_of_a_kind_suitable_for_bouquets_or_for_ornamental_purposes__fresh__dried__dyed__bleached__impregnated_or_otherwise_prepared
0604,Foliage__branches_and_other_parts_of_plants__without_flowers_or_flower_buds__and_grasses__mosses_and_lichens__being_goods_of_a_kind_suitable_for_bouquets_or_for_ornamental_purposes__fresh__dried__dyed__bleached__impregnated_or_otherwise_prepared
0701,Potatoes__fresh_or_chilled
0702,Tomatoes__fresh_or_chilled
0703,Onions__shallots__garlic__leeks_and_other_alliaceous_vegetables__fresh_or_chilled
0704,Cabbages__cauliflowers__kohlrabi__kale_and_similar_edible_brassicas__fresh_or_chilled
0705,Lettuce_(Lactuca_sativa)_and_chicory_(Cichorium_spp.)__fresh_or_chilled
0706,Carrots__turnips__salad_beetroot__salsify__celeriac__radishes_and_similar_edible_roots__fresh_or_chilled
0707,Cucumbers_and_gherkins__fresh_or_chilled
0708,Leguminous_vegetables__shelled_or_unshelled__fresh_or_chilled
0709,Other_vegetables__fresh_or_chilled
0710,Vegetables_(uncooked_or_cooked_by_steaming_or_boiling_in_water)__frozen
0711,Vegetables_provisionally_preserved_(for_example__by_sulphur_dioxide_gas__in_brine__in_sulphur_water_or_in_other_preservative_solutions)__but_unsuitable_in_that_state_for_immediate_consumption
0712,Dried_vegetables__whole__cut__sliced__broken_or_in_powder__but_not_further_prepared
0713,Dried_leguminous_vegetables__shelled__whether_or_not_skinned_or_split
0714,Manioc__arrowroot__salep__Jerusalem_artichokes__sweet_potatoes_and_similar_roots_and_tubers_with_high_starch_or_inulin_content__fresh__chilled__frozen_or_dried__whether_or_not_sliced_or_in_the_form_of_pellets;_sago_pith
0801,Coconuts__Brazil_nuts_and_cashew_nuts__fresh_or_dried__whether_or_not_shelled_or_peeled
0802,Other_nuts__fresh_or_dried__whether_or_not_shelled_or_peeled
0803,Bananas__including_plantains__fresh_or_dried
0804,Dates__figs__pineapples__avocados__guavas__mangoes_and_mangosteens__fresh_or_dried
0805,Citrus_fruit__fresh_or_dried
0806,Grapes__fresh_or_dried
0807,Melons_(including_watermelons)_and_papaws_(papayas)__fresh
0808,Apples__pears_and_quinces__fresh
0809,Apricots__cherries__peaches_(including_nectarines)__plums_and_sloes__fresh
0810,Other_fruit__fresh
0811,Fruit_and_nuts__uncooked_or_cooked_by_steaming_or_boiling_in_water__frozen__whether_or_not_containing_added_sugar_or_other_sweetening_matter
0812,Fruit_and_nuts__provisionally_preserved_(for_example__by_sulphur_dioxide_gas__in_brine__in_sulphur_water_or_in_other_preservative_solutions)__but_unsuitable_in_that_state_for_immediate_consumption
0813,Fruit__dried__other_than_that_of_headings_08.01_to_08.06;_mixtures_of_nuts_or_dried_fruits_of_this_Chapter
0814,Peel_of_citrus_fruit_or_melons
0901,Coffee__whether_or_not_roasted_or_decaffeinated;_coffee_husks_and_skins;_coffee_substitutes_containing_coffee_in_any_proportion
0902,Tea__whether_or_not_flavoured
0903,Mate
0904,Pepper_of_the_genus_Piper;_dried_or_crushed_or_ground_fruits_of_the_genus_Capsicum_or_of_the_genus_Pimenta
0905,Vanilla
0906,Cinnamon_and_cinnamon-tree_flowers
0907,Cloves_(whole_fruit__cloves_and_stems)
0908,Nutmeg__mace_and_cardamoms
0909,Seeds_of_anise__badian__fennel__coriander__cumin_or_caraway;_juniper_berries
0910,Ginger__saffron__turmeric_(curcuma)__thyme__bay_leaves__curry_and_other_spices
1001,Wheat_and_meslin
1002,Rye
1003,Barley
1004,Oats
1005,Maize_(corn)
1006,Rice
1007,Grain_sorghum
1008,Buckwheat__millet_and_canary_seeds;_other_cereals
1101,Wheat_or_meslin_flour
1102,Cereal_flours_other_than_of_wheat_or_meslin
1103,Cereal_groats__meal_and_pellets
1104,Cereal_grains_otherwise_worked_(for_example__hulled__rolled__flaked__pearled__sliced_or_kibbled)__except_rice_of_heading_10.06;_germ_of_cereals__whole__rolled__flaked_or_ground
1105,Flour__meal__powder__flakes__granules_and_pellets_of_potatoes
1106,Flour__meal_and_powder_of_the_dried_leguminous_vegetables_of_heading_07.13__of_sago_or_of_roots_or_tubers_of_heading_07.14_or_of_the_products_of_Chapter_8
1107,Malt__whether_or_not_roasted
1108,Starches;_inulin
1109,Wheat_gluten__whether_or_not_dried
1201,Soya_beans__whether_or_not_broken
1202,Ground-nuts__not_roasted_or_otherwise_cooked__whether_or_not_shelled_or_broken
1203,Copra
1204,Linseed__whether_or_not_broken
1205,Rape_or_colza_seeds__whether_or_not_broken
1206,Sunflower_seeds__whether_or_not_broken
1207,Other_oil_seeds_and_oleaginous_fruits__whether_or_not_broken
1208,Flours_and_meals_of_oil_seeds_or_oleaginous_fruits__other_than_those_of_mustard
1209,Seeds__fruit_and_spores__of_a_kind_used_for_sowing
1210,Hop_cones__fresh_or_dried__whether_or_not_ground__powdered_or_in_the_form_of_pellets;_lupulin
1211,Plants_and_parts_of_plants_(including_seeds_and_fruits)__of_a_kind_used_primarily_in_perfumery__in_pharmacy_or_for_insecticidal__fungicidal_or_similar_purposes__fresh_or_dried__whether_or_not_cut__crushed_or_powdered
1212,Locust_beans__seaweeds_and_other_algae__sugar_beet_and_sugar_cane__fresh__chilled__frozen_or_dried__whether_or_not_ground;_fruit_stones_and_kernels_and_other_vegetable_products_(including_unroasted_chicory_roots_of_the_variety_Cichorium_intybus_sativum)_of_a_kind_used_primarily_for_human_consumption__not_elsewhere_specified_or_included
1213,Cereal_straw_and_husks__unprepared__whether_or_not_chopped__ground__pressed_or_in_the_form_of_pellets
1214,Swedes__mangolds__fodder_roots__hay__lucerne_(alfalfa)__clover__sainfoin__forage_kale__lupines__vetches_and_similar_forage_products__whether_or_not_in_the_form_of_pellets
1301,Lac;_natural_gums__resins__gum-resins_and_oleoresins_(for_example__balsams)
1302,Vegetable_saps_and_extracts;_pectic_substances__pectinates_and_pectates;_agar-agar_and_other_mucilages_and_thickeners__whether_or_not_modified__derived_from_vegetable_products
1401,Vegetable_materials_of_a_kind_used_primarily_for_plaiting_(for_example__bamboos__rattans__reeds__rushes__osier__raffia__cleaned__bleached_or_dyed_cereal_straw__and_lime_bark)
1404,Vegetable_products_not_elsewhere_specified_or_included
1501,Pig_fat_(including_lard)_and_poultry_fat__other_than_that_of_heading_02.09_or_15.03
1502,Fats_of_bovine_animals__sheep_or_goats__other_than_those_of_heading_15.03
1503,Lard_stearin__lard_oil__oleostearin__oleo-oil_and_tallow_oil__not_emulsified_or_mixed_or_otherwise_prepared
1504,Fats_and_oils_and_their_fractions__of_fish_or_marine_mammals__whether_or_not_refined__but_not_chemically_modified
1505,Wool_grease_and_fatty_substances_derived_therefrom_(including_lanolin)
1506,Other_animal_fats_and_oils_and_their_fractions__whether_or_not_refined__but_not_chemically_modified
1507,Soya-bean_oil_and_its_fractions__whether_or_not_refined__but_not_chemically_modified
1508,Ground-nut_oil_and_its_fractions__whether_or_not_refined__but_not_chemically_modified
1509,Olive_oil_and_its_fractions__whether_or_not_refined__but_not_chemically_modified
1510,Other_oils_and_their_fractions__obtained_solely_from_olives
1511,Palm_oil_and_its_fractions__whether_or_not_refined__but_not_chemically_modified
1512,Sunflower-seed__safflower_or_cotton-seed_oil_and_fractions_thereof__whether_or_not_refined__but_not_chemically_modified
1513,Coconut_(copra)__palm_kernel_or_babassu_oil_and_fractions_thereof__whether_or_not_refined__but_not_chemically_modified
1514,Rape__colza_or_mustard_oil_and_fractions_thereof__whether_or_not_refined__but_not_chemically_modified
1515,Other_fixed_vegetable_fats_and_oils_(including_jojoba_oil)_and_their_fractions__whether_or_not_refined__but_not_chemically_modified
1516,Animal_or_vegetable_fats_and_oils_and_their_fractions__partly_or_wholly_hydrogenated__inter-esterified__re-esterified_or_elaidinised__whether_or_not_refined__but_not_further_prepared
1517,Margarine;_edible_mixtures_or_preparations_of_animal_or_vegetable_fats_or_oils_or_of_fractions_of_different_fats_or_oils_of_this_Chapter__other_than_edible_fats_or_oils_or_their_fractions_of_heading_15.16
1518,Animal_or_vegetable_fats_and_oils_
1520,Glycerol__crude;_glycerol_waters_and_glycerol_lyes
1521,Vegetable_waxes_(other_than_triglycerides)__beeswax__other_insect_waxes_and_spermaceti__whether_or_not_refined_or_coloured
1522,Degras;_residues_resulting_from_the_treatment_of_fatty_substances_or_animal_or_vegetable_waxes
1601,Sausages_and_similar_products__of_meat__meat_offal_or_blood;_food_preparations_based_on_these_products
1602,Other_prepared_or_preserved_meat__meat_offal_or_blood
1603,Extracts_and_juices_of_meat__fish_or_crustaceans__molluscs_or_other_aquatic_invertebrates
1604,Prepared_or_preserved_fish__caviar_and_caviar_substitutes_prepared_from_fish_eggs
1605,Crustaceans__molluscs_and_other_aquatic_invertebrates__prepared_or_preserved
1701,Cane_or_beet_sugar_and_chemically_pure_sucrose__in_solid_form
1702,Other_sugars__including_chemically_pure_lactose__maltose__glucose_and_fructose__in_solid_form;_sugar_syrups_not_containing_added_flavouring_or_colouring_matter;_artificial_honey__whether_or_not_mixed_with_natural_honey;_caramel
1703,Molasses_resulting_from_the_extraction_or_refining_of_sugar
1704,Sugar_confectionery_(including_white_chocolate)__not_containing_cocoa
1801,Cocoa_beans__whole_or_broken__raw_or_roasted
1802,Cocoa_shells__husks__skins_and_other_cocoa_waste
1803,Cocoa_paste__whether_or_not_defatted
1804,Cocoa_butter__fat_and_oil
1805,Cocoa_powder__not_containing_added_sugar_or_other_sweetening_matter
1806,Chocolate_and_other_food_preparations_containing_cocoa
1901,Malt_extract;_food_preparations_of_flour__groats__meal__starch_or_malt_extract__not_containing_cocoa_or_containing_less_than_40%_by_weight_of_cocoa_calculated_on_a_totally_defatted_basis__not_elsewhere_specified_or_included;_food_preparations_of_goods_of_headings_04.01_to_04.04__not_containing_cocoa_or_containing_less_than_5%_by_weight_of_cocoa_calculated_on_a_totally_defatted_basis__not_elsewhere_specified_or_included
1902,Pasta__whether_or_not_cooked_or_stuffed_(with_meat_or_other_substances)_or_otherwise_prepared__such_as_spaghetti__macaroni__noodles__lasagne__gnocchi__ravioli__cannelloni;_couscous__whether_or_not_prepared
1903,Tapioca_and_substitutes_therefor_prepared_from_starch__in_the_form_of_flakes__grains__pearls__siftings_or_in_similar_forms
1904,Prepared_foods_obtained_by_the_swelling_or_roasting_of_cereals_or_cereal_products_(for_example__corn_flakes);_cereals_(other_than_maize_(corn))_in_grain_form_or_in_the_form_of_flakes_or_other_worked_grains_(except_flour__groats_and_meal)__pre-cooked__or_otherwise_prepared__not_elsewhere_specified_or_included
1905,Bread__pastry__cakes__biscuits_and_other_bakers'_wares__whether_or_not_containing_cocoa;_communion_wafers__empty_cachets_of_a_kind_suitable_for_pharmaceutical_use__sealing_wafers__rice_paper_and_similar_products
2001,Vegetables__fruit__nuts_and_other_edible_parts_of_plants__prepared_or_preserved_by_vinegar_or_acetic_acid
2002,Tomatoes_prepared_or_preserved_otherwise_than_by_vinegar_or_acetic_acid
2003,Mushrooms_and_truffles__prepared_or_preserved_otherwise_than_by_vinegar_or_acetic_acid
2004,Other_vegetables_prepared_or_preserved_otherwise_than_by_vinegar_or_acetic_acid__frozen__other_than_products_of_heading_20.06
2005,Other_vegetables_prepared_or_preserved_otherwise_than_by_vinegar_or_acetic_acid__not_frozen__other_than_products_of_heading_20.06
2006,Vegetables__fruit__nuts__fruit-peel_and_other_parts_of_plants__preserved_by_sugar_(drained__glace_or_crystallised)
2007,Jams__fruit_jellies__marmalades__fruit_or_nut_pure_and_fruit_or_nut_pastes__obtained_by_cooking__whether_or_not_containing_added_sugar_or_other_sweetening_matter
2008,Fruit__nuts_and_other_edible_parts_of_plants__otherwise_prepared_or_preserved___whether_or_not_containing_added_sugar_or_other_sweetening_matter_or_spirit__not_elsewhere_specified_or_included
2009,Fruit_juices_(including_grape_must)_and_vegetable_juices__unfermented_and_not_containing_added_spirit__whether_or_not_containing_added_sugar_or_other_sweetening_matter
2101,Extracts__essences_and_concentrates__of_coffee__tea_or_mate;_and_preparations_with_a_basis_of_these_products_or_with_a_basis_of_coffee__tea_or_mate_roasted_chicory_and_other_roasted_coffee_substitutes__and_extracts__essences_and_concentrates_thereof
2102,Yeasts_(active_or_inactive);_other_single-cell_micro-organisms__dead_(but_not_including_vaccines_of_heading_30.02);_prepared_baking_powders
2103,Sauces_and_preparations_therefor;_mixed_condiments_and_mixed_seasonings;_mustard_flour_and_meal_and_prepared_mustard
2104,Soups_and_broths_and_preparations_therefor;_homogenised_composite_food_preparations
2105,Ice_cream_and_other_edible_ice__whether_or_not_containing_cocoa
2106,Food_preparations_not_elsewhere_specified_or_included
2201,Waters__including_natural_or_artificial_mineral_waters_and_aerated_waters__not_containing_added_sugar_or_other_sweetening_matter_nor_flavoured;_ice_and_snow
2202,Waters__including_mineral_waters_and_aerated_waters__containing_added_sugar_or_other_sweetening_matter_or_flavoured__and_other_non-alcoholic_beverages__not_including_fruit_or_vegetable_juices_of_heading_20.09
2203,Beer_made_from_malt
2204,Wine_of_fresh_grapes__including_fortified_wines;_grape_must_other_than_that_of_heading_20.09
2205,Vermouth_and_other_wine_of_fresh_grapes_flavoured_with_plants_or_aromatic_substances
2206,Other_fermented_beverages_(for_example__cider__perry__mead);_mixtures_of_fermented_beverages_and_mixtures_of_fermented_beverages_and_non-alcoholic_beverages__not_elsewhere_specified_or_included
2207,Undenatured_ethyl_alcohol_of_an_alcoholic_strength_by_volume_of_80%_vol_or_higher;_ethyl_alcohol_and_other_spirits__denatured__of_any_strength
2208,Undenatured_ethyl_alcohol_of_an_alcoholic_strength_by_volume_of_less_than_80%_vol;_spirits__liqueurs_and_other_spirituous_beverages
2209,Vinegar_and_substitutes_for_vinegar_obtained_from_acetic_acid
2301,Flours__meals_and_pellets__of_meat_or_meat_offal__of_fish_or_of_crustaceans__molluscs_or_other_aquatic_invertebrates__unfit_for_human_consumption;_greaves
2302,Bran__sharps_and_other_residues__whether_or_not_in_the_form_of_pellets__derived_from_the_sifting__milling_or_other_working_of_cereals_or_of_leguminous_plants
2303,Residues_of_starch_manufacture_and_similar_residues__beet-pulp__bagasse_and_other_waste_of_sugar_manufacture__brewing_or_distilling_dregs_and_waste__whether_or_not_in_the_form_of_pellets
2304,Oil-cake_and_other_solid_residues__whether_or_not_ground_or_in_the_form_of_pellets__resulting_from_the_extraction_of_soyabean_oil
2305,Oil-cake_and_other_solid_residues__whether_or_not_ground_or_in_the_form_of_pellets__resulting_from_the_extraction_of_ground-nut_oil
2306,Oil-cake_and_other_solid_residues__whether_or_not_ground_or_in_the_form_of_pellets__resulting_from_the_extraction_of_vegetable_fats_or_oils__other_than_those_of_heading_23.04_or_23.05
2307,Wine_lees;_argol
2308,Vegetable_materials_and_vegetable_waste__vegetable_residues
2309,Preparations_of_a_kind_used_in_animal_feeding
2401,Unmanufactured_tobacco;_tobacco_refuse
2402,Cigars__cheroots__cigarillos_and_cigarettes__of_tobacco_or_of_tobacco_substitutes
2403,"Other_manufactured_tobacco_and_manufactured_tobacco_substitutes;_""homogenised″or__""reconstituted″tobacco;_tobacco_extracts_and_essences"
2501,Salt_(including_table_salt_and_denatured_salt)_and_pure_sodium_chloride__whether_or_not_in_aqueous_solution_or_containing_added_anti-caking_or_free-flowing_agents;_sea_water
2502,Unroasted_iron_pyrites
2503,Sulphur_of_all_kinds__other_than_sublimed_sulphur__precipitated_sulphur_and_colloidal_sulphur
2504,Natural_graphite
2505,Natural_sands_of_all_kinds__whether_or_not_coloured__other_than_metal-bearing_sands_of_Chapter_26
2506,Quartz_(other_than_natural_sands);_quartzite__whether_or_not_roughly_trimmed_or_merely_cut__by_sawing_or_otherwise__into_blocks_or_slabs_of_a_rectangular_(including_square)_shape
2507,Kaolin_and_other_kaolinic_clays__whether_or_not_calcined
2508,Other_clays_(not_including_expanded_clays_of_heading_68.06)__andalusite__kyanite_and_sillimanite__whether_or_not_calcined;_mullite;_chamotte_or_dinas_earths
2509,Chalk
2510,Natural_calcium_phosphates__natural_aluminium_calcium_phosphates_and_phosphatic_chalk
2511,Natural_barium_sulphate_(barytes);_natural_barium_carbonate_(witherite)__whether_or_not_calcined__other_than_barium_oxide_of_heading_28.16
2512,Siliceous_fossil_meals_
2513,Pumice_stone;_emery;_natural_corundum__natural_garnet_and_other_natural_abrasives__whether_or_not_heat-treated:
2514,Slate__whether_or_not_roughly_trimmed_or_merely_cut__by_sawing
2515,Marble__travertine__ecaussine_and_other_calcareous_monumental_or_building_stone_of_an_apparent_specific_gravity_of_2.5_or_more__and_alabaster__whether_or_not_roughly_trimmed_or_merely_cut__by_sawing_or_otherwise__into_blocks_or_slabs_of_a_rectangular_(including_square)_shape
2516,Granite__porphyry__basalt__sandstone_and_other_monumental_or_building_stone__whether_or_not_roughly_trimmed_or_merely_cut__by_sawing_or_otherwise__into_blocks_or_slabs_of_a_rectangular_(including_square)_shape
2517,Pebbles__gravel__broken_or_crushed_stone__of_a_kind_commonly_used_for_concrete_aggregates__for_road_metalling_or_for_railway_or_other_ballast__shingle_and_flint__whether_or_not_heat-treated;_macadam_of_slag__dross_or_similar_industrial_waste__whether_or_not_incorporating_the_materials_cited_in_the_first_part_of_the_heading;_tarred_macadam;_granules__chippings_and_powder__of_stones_of_heading_25.15_or_25.16__whether_or_not_heat-treated
2518,Dolomite__whether_or_not_calcined_or_sintered__including_dolomite_roughly_trimmed_or_merely_cut__by_sawing_or_otherwise__into_blocks_or_slabs_of_a_rectangular_(including_square)_shape;_dolomite_ramming_mix
2519,Natural_magnesium_carbonate_(magnesite);_fused_magnesia;_dead-burned_(sintered)_magnesia__whether_or_not_containing_small_quantities_of_other_oxides_added_before_sintering;_other_magnesium_oxide__whether_or_not_pure
2520,Gypsum;_anhydrite;_plasters_(consisting_of_calcined_gypsum_or_calcium_sulphate)_whether_or_not_coloured__with_or_without_small_quantities_of_accelerators_or_retarders:
2521,Limestone_flux_limestone
2522,Quicklime__slaked_lime_and_hydraulic_lime__other_than_calcium_oxide_and_hydroxide_of_heading_28.25
2523,Portland_cement__aluminous_cement__slag_cement__supersulphate_cement_and_similar_hydraulic_cements__whether_or_not_coloured_or_in_the_form_of_clinkers
2524,Asbestos
2525,Mica__including_splittings;_mica_waste
2526,Natural_steatite__whether_or_not_roughly_trimmed_or_merely_cut__by_sawing_or_otherwise__into_blocks_or_slabs_of_a_rectangular_(including_square)_shape;_talc
2528,Natural_borates_and_concentrates_thereof
2529,Feldspar;_leucite;_nepheline_and_nepheline_syenite;_fluorspar
2530,Mineral_substances_not_elsewhere_specified_or_included
2601,Iron_ores_and_concentrates__including_roasted_iron_pyrites:
2602,Manganese_ores_and_concentrates__including_ferruginous_manganese_ores_and_concentrates_with_a_manganese_content_of_20%_or_more__calculated_on_the_dry_weight
2603,Copper_ores_and_concentrates
2604,Nickel_ores_and_concentrates
2605,Cobalt_ores_and_concentrates
2606,Aluminium_ores_and_concentrates
2607,Lead_ores_and_concentrates
2608,Zinc_ores_and_concentrates
2609,Tin_ores_and_concentrates
2610,Chromium_ores_and_concentrates
2611,Tungsten_ores_and_concentrates
2612,Uranium_or_thorium_ores_and_concentrates
2613,Molybdenum_ores_and_concentrates
2614,Titanium_ores_and_concentrates
2615,Niobium__tantalum__vanadium_or_zirconium_ores_and_concentrates
2616,Precious_metal_ores_and_concentrates
2617,Other_ores_and_concentrates
2618,Granulated_slag_(slag_sand)_from_the_manufacture_of_iron_or_steel
2619,Slag__dross_(other_than_granulated_slag)__scalings_and_other_waste_from_the_manufacture_of_iron_or_steel
2620,Slag__ash_and_residues_(other_than_from_the_manufacture_of_iron_or_steel)_containing_metals__arsenic_or_their_compounds
2621,Other_slag_and_ash__including_seaweed_ash(kelp);_ash_and_residues_from_the_incineration_of_municipal_waste
2701,Coal;_briquettes__ovoids_and_similar_solid_fuels_manufactured_from_coal
2702,Lignite__whether_or_not_agglomerated__excluding_jet
2703,Peat_(including_peat_litter)__whether_or_not_agglomerated
2704,Coke_and_semi-coke_of_coal__of_lignite_or_of_peat__whether_or_not_agglomerated;_retort_carbon
2705,Coal_gas__water_gas__producer_gas_and_similar_gases__other_than_petroleum_gases_and_other_gaseous_hydrocarbons
2706,Tar_distilled_from_coal__from_lignite_or_from_peat
2707,Oils_and_other_products_of_the_distillation_of_high_temperature_coal_tar;_similar_products_in_which_the_weight_of_the_aromatic_constituents_exceeds_that_of_the_non-aromatic_constituents
2708,Pitch_and_pitch_coke__obtained_from_coal_tar_or_from_other_mineral_tars
2709,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
2710,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__other_than_crude;_preparations_not_elsewhere_specified_or_included__containing_by_weight_70%_or_more_of_petroleum_oils_or_of_oils_obtained_from_bituminous_minerals__these_oils_being_the_basic_constituents_of_the_preparations;_waste_oils
2711,Petroleum_gases_and_other_gaseous_hydrocarbons
2712,Petroleum_jelly;_paraffin_wax__micro-crystalline_petroleum_wax__slack_wax__ozokerite__lignite_wax__peat_wax__other_mineral_waxes__and_similar_products_obtained_by_synthesis_or_by_other_processes__whether_or_not_coloured
2713,Petroleum_coke__petroleum_bitumen_and_other_residues_of_petroleum_oils_or_of_oils_obtained_from_bituminous_minerals
2714,Bitumen_and_asphalt__natural;_bituminous_or_oil_shale_and_tar_sands;_asphaltites_and_asphaltic_rocks
2715,Bituminous_mixtures_based_on_natural_asphalt
2801,Fluorine__chlorine__bromine_and_iodine
2802,Sulphur__sublimed_or_precipitated;_colloidal_sulphur
2803,Carbon_(carbon_blacks_and_other_forms_of_carbon_not_elsewhere_specified_or_included)
2804,Hydrogen__rare_gases_and_other_non-metals
2805,Alkali_or_alkaline-earth_metals;_rare-earth_metals__scandium_and_yttrium__whether_or_not_intermixed_or_interalloyed;_mercury
2806,Hydrogen_chloride_(hydrochloric_acid);_chlorosulphuric_acid
2807,Sulphuric_acid;_oleum
2808,Nitric_acid;_sulphonitric_acids
2809,Diphosphorus_pentaoxide;_phosphoric_acid;_polyphosphoric_acids__whether_or_not_chemically_defined
2810,Oxides_of_boron;_boric_acids
2811,Other_inorganic_acids_and_other_inorganic_oxygen_compounds_of_non-metals
2812,Halides_and_halide_oxides_of_non-metals
2813,Sulphides_of_non-metals;_commercial_phosphorus_trisulphide
2814,Ammonia__anhydrous_or_in_aqueous_solution
2815,Sodium_hydroxide_(caustic_soda);_potassium_hydroxide_(caustic_potash);_peroxides_of_sodium_or_potassium
